periode_data,wilayah,kecamatan,jumlah_kasus_laki_laki,jumlah_kasus_perempuan,jumlah_kasus
2024,Jakarta Timur,Ciracas,40,23,63
2024,Jakarta Timur,Duren Sawit,19,19,38
2024,Jakarta Timur,Matraman,32,26,58
2024,Jakarta Utara,Penjaringan,7,6,13
2024,Jakarta Utara,Pademangan,11,17,28
2024,Jakarta Utara,Tanjung Priok,7,7,14
2024,Jakarta Timur,Pasar Rebo,28,32,60
2024,Jakarta Utara,Kelapa Gading,11,11,22
2024,Jakarta Barat,Taman Sari,12,9,21
2024,Jakarta Selatan,Pancoran,13,10,23
2024,Jakarta Pusat,Tanah Abang,14,8,22
2024,Jakarta Selatan,Pesanggrahan,28,30,58
2024,Jakarta Utara,Koja,0,8,8
2024,Jakarta Pusat,Cempaka Putih,7,4,11
2024,Jakarta Barat,Pal Merah,18,12,30
2024,Jakarta Utara,Cilincing,16,16,32
2024,Jakarta Barat,Kebon Jeruk,17,32,49
2024,Jakarta Selatan,Cilandak,17,22,39
2024,Jakarta Timur,Jatinegara,13,15,28
2024,Jakarta Pusat,Sawah Besar,13,13,26
2024,Jakarta Selatan,Kebayoran Lama,17,9,26
2024,Kep. Seribu,Kepulauan Seribu Utara,2,6,8
2024,Jakarta Selatan,Setiabudi,9,10,19
2024,Jakarta Selatan,Tebet,10,12,22
2024,Jakarta Selatan,Mampang Prapatan,34,26,60
2024,Jakarta Pusat,Gambir,22,19,41
2024,Jakarta Pusat,Senen,6,6,12
2024,Jakarta Selatan,Jagakarsa,33,35,68
2024,Jakarta Barat,Kalideres,11,18,29
2024,Jakarta Pusat,Kemayoran,9,9,18
2024,Jakarta Timur,Cipayung,12,17,29
2024,Jakarta Pusat,Menteng,42,40,82
2024,Jakarta Barat,Tambora,5,16,21
2024,Jakarta Selatan,Pasar Minggu,12,16,28
2024,Jakarta Barat,Kembangan,36,40,76
2024,Jakarta Selatan,Kebayoran Baru,24,31,55
2024,Kep. Seribu,Kepulauan Seribu Selatan,3,3,6
2024,Jakarta Pusat,Johar Baru,5,15,20
2024,Jakarta Timur,Cakung,28,34,62
2024,Jakarta Timur,Pulogadung,19,11,30
2024,Jakarta Barat,Cengkareng,82,55,137
2024,Jakarta Timur,Makasar,38,38,76
2024,Jakarta Timur,Kramatjati,28,30,58
2024,Jakarta Barat,Grogol Petamburan,13,15,28
