periode_data,wilayah,kecamatan,jumlah_kasus_laki_laki,jumlah_kasus_perempuan,jumlah_kasus
2024,Jakarta Pusat,Johar Baru,122,92,214
2024,Jakarta Utara,Koja,206,183,389
2024,Kep. Seribu,Kepulauan Seribu Selatan,8,8,16
2024,Jakarta Utara,Pademangan,117,92,209
2024,Jakarta Utara,Tanjung Priok,236,217,453
2024,Jakarta Selatan,Pesanggrahan,132,113,245
2024,Jakarta Barat,Tambora,109,92,201
2024,Jakarta Timur,Ciracas,211,208,419
2024,Jakarta Timur,Duren Sawit,268,236,504
2024,Jakarta Pusat,Tanah Abang,78,57,135
2024,Jakarta Barat,Kebon Jeruk,381,331,712
2024,Jakarta Timur,Jatinegara,214,177,391
2024,Jakarta Pusat,Menteng,80,49,129
2024,Jakarta Selatan,Pancoran,102,102,204
2024,Jakarta Utara,Kelapa Gading,186,163,349
2024,Jakarta Pusat,Sawah Besar,75,46,121
2024,Jakarta Barat,Kalideres,374,338,712
2024,Jakarta Barat,Taman Sari,138,83,221
2024,Jakarta Pusat,Kemayoran,188,137,325
2024,Jakarta Selatan,Jagakarsa,139,165,304
2024,Jakarta Timur,Matraman,183,166,349
2024,Jakarta Selatan,Tebet,100,83,183
2024,Jakarta Selatan,Cilandak,111,86,197
2024,Jakarta Utara,Cilincing,371,359,730
2024,Jakarta Timur,Cakung,190,140,330
2024,Jakarta Selatan,Mampang Prapatan,179,136,315
2024,Jakarta Barat,Pal Merah,156,132,288
2024,Jakarta Pusat,Gambir,13,13,26
2024,Jakarta Utara,Penjaringan,295,276,571
2024,Jakarta Timur,Pasar Rebo,124,114,238
2024,Jakarta Selatan,Kebayoran Lama,142,131,273
2024,Jakarta Pusat,Senen,66,44,110
2024,Jakarta Timur,Kramatjati,143,133,276
2024,Jakarta Selatan,Setiabudi,142,119,261
2024,Jakarta Timur,Pulogadung,157,145,302
2024,Jakarta Selatan,Kebayoran Baru,135,137,272
2024,Jakarta Barat,Grogol Petamburan,153,102,255
2024,Jakarta Timur,Makasar,68,67,135
2024,Kep. Seribu,Kepulauan Seribu Utara,10,8,18
2024,Jakarta Selatan,Pasar Minggu,150,151,301
2024,Jakarta Barat,Cengkareng,380,391,771
2024,Jakarta Barat,Kembangan,272,266,538
2024,Jakarta Pusat,Cempaka Putih,102,85,187
2024,Jakarta Timur,Cipayung,106,77,183
