periode_data,wilayah,kecamatan,jumlah_kasus_laki_laki,jumlah_kasus_perempuan,jumlah_kasus
2024,Jakarta Pusat,Cempaka Putih,143,135,278
2024,Jakarta Pusat,Gambir,82,60,142
2024,Jakarta Pusat,Johar Baru,159,151,310
2024,Jakarta Pusat,Kemayoran,58,36,94
2024,Jakarta Pusat,Menteng,92,98,190
2024,Jakarta Pusat,Sawah Besar,170,141,311
2024,Jakarta Pusat,Senen,34,45,79
2024,Jakarta Pusat,Tanah Abang,78,58,136
2024,Jakarta Utara,Cilincing,552,412,964
2024,Jakarta Utara,Kelapa Gading,89,57,146
2024,Jakarta Utara,Koja,64,62,126
2024,Jakarta Utara,Pademangan,23,18,41
2024,Jakarta Utara,Penjaringan,74,61,135
2024,Jakarta Utara,Tanjung Priok,166,174,340
2024,Jakarta Barat,Cengkareng,894,780,1674
2024,Jakarta Barat,Grogol Petamburan,260,266,526
2024,Jakarta Barat,Kalideres,432,350,782
2024,Jakarta Barat,Kebon Jeruk,77,51,128
2024,Jakarta Barat,Kembangan,258,219,477
2024,Jakarta Barat,Taman Sari,160,130,290
2024,Jakarta Selatan,Pesanggrahan,245,208,453
2024,Jakarta Selatan,Tebet,99,97,196
2024,Jakarta Selatan,Pasar Minggu,178,154,332
2024,Jakarta Selatan,Pancoran,159,119,278
2024,Jakarta Selatan,Mampang Prapatan,42,33,75
2024,Jakarta Selatan,Kebayoran Lama,50,41,91
2024,Jakarta Selatan,Kebayoran Baru,396,288,684
2024,Jakarta Selatan,Jagakarsa,407,393,800
2024,Jakarta Selatan,Cilandak,149,116,265
2024,Jakarta Timur,Jatinegara,507,381,888
2024,Jakarta Timur,Pasar Rebo,316,287,603
2024,Jakarta Timur,Ciracas,94,70,164
2024,Jakarta Timur,Makasar,502,393,895
2024,Jakarta Timur,Cakung,249,153,402
2024,Jakarta Timur,Duren Sawit,243,161,404
2024,Jakarta Timur,Cipayung,458,384,842
2024,Jakarta Barat,Pal Merah,151,125,276
2024,Jakarta Timur,Kramatjati,492,401,893
2024,Kep. Seribu,Kepulauan Seribu Selatan,43,14,57
2024,Kep. Seribu,Kepulauan Seribu Utara,26,10,36
2024,Jakarta Barat,Tambora,745,647,1392
2024,Jakarta Selatan,Setiabudi,25,10,35
2024,Jakarta Timur,Pulogadung,321,253,574
2024,Jakarta Timur,Matraman,570,477,1047
