periode_data,wilayah,kecamatan,jumlah_kasus_laki_laki,jumlah_kasus_perempuan,jumlah_kasus
2024,Jakarta Pusat,Cempaka Putih,77,83,160
2024,Jakarta Pusat,Gambir,25,47,72
2024,Jakarta Pusat,Johar Baru,60,73,133
2024,Jakarta Pusat,Kemayoran,78,92,170
2024,Jakarta Pusat,Menteng,23,23,46
2024,Jakarta Pusat,Sawah Besar,34,60,94
2024,Jakarta Pusat,Senen,27,44,71
2024,Jakarta Pusat,Tanah Abang,51,104,155
2024,Jakarta Selatan,Cilandak,63,84,147
2024,Jakarta Selatan,Jagakarsa,361,506,867
2024,Jakarta Selatan,Kebayoran Baru,32,67,99
2024,Jakarta Selatan,Kebayoran Lama,217,343,560
2024,Jakarta Selatan,Mampang Prapatan,68,113,181
2024,Jakarta Selatan,Pancoran,97,155,252
2024,Jakarta Selatan,Pasar Minggu,224,347,571
2024,Jakarta Selatan,Pesanggrahan,80,120,200
2024,Jakarta Selatan,Setiabudi,36,67,103
2024,Jakarta Selatan,Tebet,49,77,126
2024,Jakarta Timur,Cakung,148,216,364
2024,Jakarta Timur,Cipayung,160,170,330
2024,Jakarta Timur,Ciracas,221,286,507
2024,Jakarta Timur,Duren Sawit,98,149,247
2024,Jakarta Timur,Jatinegara,59,61,120
2024,Jakarta Timur,Kramatjati,233,284,517
2024,Jakarta Timur,Makasar,121,178,299
2024,Jakarta Timur,Matraman,73,114,187
2024,Jakarta Timur,Pasar Rebo,538,604,1142
2024,Jakarta Timur,Pulogadung,121,138,259
2024,Jakarta Utara,Cilincing,277,295,572
2024,Jakarta Utara,Kelapa Gading,70,83,153
2024,Jakarta Utara,Koja,341,530,871
2024,Jakarta Utara,Pademangan,88,119,207
2024,Jakarta Utara,Penjaringan,192,298,490
2024,Jakarta Utara,Tanjung Priok,246,285,531
2024,Kep. Seribu,Kepulauan Seribu Selatan,0,0,0
2024,Kep. Seribu,Kepulauan Seribu Utara,1,2,3
2024,Jakarta Barat,Cengkareng,151,193,344
2024,Jakarta Barat,Grogol Petamburan,107,155,262
2024,Jakarta Barat,Kalideres,125,142,267
2024,Jakarta Barat,Kebon Jeruk,170,227,397
2024,Jakarta Barat,Kembangan,104,149,253
2024,Jakarta Barat,Pal Merah,197,266,463
2024,Jakarta Barat,Taman Sari,60,70,130
2024,Jakarta Barat,Tambora,99,142,241
